qhat,theta,n_safe,n_uncertain,n_risk,frac_safe,frac_uncertain,frac_risk
0.0112235004125038,1.5,74,10,60,0.5138888888888888,0.06944444444444445,0.4166666666666667
0.028197864720493,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.028197864720493,1.45,98,13,33,0.6805555555555556,0.09027777777777778,0.22916666666666666
0.028197864720493,1.5,53,31,60,0.3680555555555556,0.2152777777777778,0.4166666666666667
0.0131074260762311,1.4,132,2,10,0.9166666666666666,0.013888888888888888,0.06944444444444445
0.0131074260762311,1.45,103,8,33,0.7152777777777778,0.05555555555555555,0.22916666666666666
0.0131074260762311,1.5,72,12,60,0.5,0.08333333333333333,0.4166666666666667
0.0224925098041945,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.0224925098041945,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
0.0224925098041945,1.5,60,24,60,0.4166666666666667,0.16666666666666666,0.4166666666666667
0.0225514336489871,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.0225514336489871,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
0.0225514336489871,1.5,60,24,60,0.4166666666666667,0.16666666666666666,0.4166666666666667
0.032663533050141,1.4,124,10,10,0.8611111111111112,0.06944444444444445,0.06944444444444445
0.032663533050141,1.45,94,17,33,0.6527777777777778,0.11805555555555555,0.22916666666666666
0.032663533050141,1.5,43,41,60,0.2986111111111111,0.2847222222222222,0.4166666666666667
0.0199797091732374,1.4,128,6,10,0.8888888888888888,0.041666666666666664,0.06944444444444445
0.0199797091732374,1.45,101,10,33,0.7013888888888888,0.06944444444444445,0.22916666666666666
0.0199797091732374,1.5,63,21,60,0.4375,0.14583333333333334,0.4166666666666667
0.0211288030269536,1.4,127,7,10,0.8819444444444444,0.04861111111111111,0.06944444444444445
0.0211288030269536,1.45,100,11,33,0.6944444444444444,0.0763888888888889,0.22916666666666666
0.0211288030269536,1.5,63,21,60,0.4375,0.14583333333333334,0.4166666666666667
0.0146074372996873,1.4,132,2,10,0.9166666666666666,0.013888888888888888,0.06944444444444445
0.0146074372996873,1.45,103,8,33,0.7152777777777778,0.05555555555555555,0.22916666666666666
0.0146074372996873,1.5,72,12,60,0.5,0.08333333333333333,0.4166666666666667
0.0117738660649691,1.4,133,1,10,0.9236111111111112,0.006944444444444444,0.06944444444444445
0.0117738660649691,1.45,105,6,33,0.7291666666666666,0.041666666666666664,0.22916666666666666
0.0117738660649691,1.5,73,11,60,0.5069444444444444,0.0763888888888889,0.4166666666666667
0.0251963012036138,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.0251963012036138,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
0.0251963012036138,1.5,57,27,60,0.3958333333333333,0.1875,0.4166666666666667
0.0464308728853621,1.4,117,17,10,0.8125,0.11805555555555555,0.06944444444444445
0.0464308728853621,1.45,88,23,33,0.6111111111111112,0.1597222222222222,0.22916666666666666
0.0464308728853621,1.5,20,64,60,0.1388888888888889,0.4444444444444444,0.4166666666666667
0.0140531271899591,1.4,132,2,10,0.9166666666666666,0.013888888888888888,0.06944444444444445
0.0140531271899591,1.45,103,8,33,0.7152777777777778,0.05555555555555555,0.22916666666666666
0.0140531271899591,1.5,72,12,60,0.5,0.08333333333333333,0.4166666666666667
0.0115751049142278,1.4,133,1,10,0.9236111111111112,0.006944444444444444,0.06944444444444445
0.0115751049142278,1.45,105,6,33,0.7291666666666666,0.041666666666666664,0.22916666666666666
0.0115751049142278,1.5,73,11,60,0.5069444444444444,0.0763888888888889,0.4166666666666667
0.0218156755507394,1.4,127,7,10,0.8819444444444444,0.04861111111111111,0.06944444444444445
0.0218156755507394,1.45,100,11,33,0.6944444444444444,0.0763888888888889,0.22916666666666666
0.0218156755507394,1.5,62,22,60,0.4305555555555556,0.1527777777777778,0.4166666666666667
0.0171457648668122,1.4,131,3,10,0.9097222222222222,0.020833333333333332,0.06944444444444445
0.0171457648668122,1.45,102,9,33,0.7083333333333334,0.0625,0.22916666666666666
0.0171457648668122,1.5,69,15,60,0.4791666666666667,0.10416666666666667,0.4166666666666667
0.0100126429191924,1.4,133,1,10,0.9236111111111112,0.006944444444444444,0.06944444444444445
0.0100126429191924,1.45,105,6,33,0.7291666666666666,0.041666666666666664,0.22916666666666666
0.0100126429191924,1.5,77,7,60,0.5347222222222222,0.04861111111111111,0.4166666666666667
0.0197396381145653,1.4,128,6,10,0.8888888888888888,0.041666666666666664,0.06944444444444445
0.0197396381145653,1.45,101,10,33,0.7013888888888888,0.06944444444444445,0.22916666666666666
0.0197396381145653,1.5,64,20,60,0.4444444444444444,0.1388888888888889,0.4166666666666667
0.0255602689855369,1.4,126,8,10,0.875,0.05555555555555555,0.06944444444444445
0.0255602689855369,1.45,99,12,33,0.6875,0.08333333333333333,0.22916666666666666
0.0255602689855369,1.5,57,27,60,0.3958333333333333,0.1875,0.4166666666666667
