sample_id,split,FW_THICK_CM,PBLI_THICK_CM,SHIELD_THICK_CM,VV_THICK_CM,LI6_ENRICH_ATOM_FRAC,tbr,tbr_pred,ci_lower,ci_upper,pr_tbr_gt_1.05,pr_tbr_gt_1.10,pr_tbr_gt_1.15,pr_tbr_gt_1.20,pr_tbr_gt_1.25,pr_tbr_gt_1.30,pr_tbr_gt_1.35,pr_tbr_gt_1.40,pr_tbr_gt_1.45,pr_tbr_gt_1.50
62,train,1.0423657821357009,63.16631749681376,37.804710244191455,28.914398908234944,0.3376724001722611,1.507677943459,1.5076757644928274,1.4724915732407942,1.5428599557448606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.609079734671801
63,calibration,1.1479267979880654,33.96757676611257,41.30605740123405,28.37730800847514,0.410856571123119,1.516862544731,1.5197044651309948,1.4845202738789616,1.554888656383028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.780018730427065
64,train,2.193221749010236,54.345602459733,35.14963739541329,29.527377612430712,0.5332742525128011,1.536330262948,1.5363254903376078,1.5011412990855746,1.571509681589641,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,train,3.667730697367112,30.72263744262912,39.21030430340393,24.94008751949783,0.3814245968961465,1.446492635549,1.4608495241697588,1.4256653329177256,1.496033715421792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6541818041523386,0.0
66,train,2.136682308516394,74.19976190661673,38.31354441859004,26.022405146369344,0.3208356012821679,1.509427687177,1.509454175443352,1.474269984191319,1.5446383666953851,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6343526042083706
67,train,1.625203542292029,41.432028373974575,32.30041162716654,28.881209906315306,0.3446401232983802,1.519766572684,1.5195704861748116,1.4843862949227784,1.5547546774268448,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7781147651600586
68,train,4.871022513534268,73.38752140532446,16.529672616131784,29.403398989218218,0.5073915963908133,1.374364319471,1.3744317917488276,1.3392476004967944,1.4096159830008608,1.0,1.0,1.0,1.0,1.0,1.0,0.8471984274672738,0.1366520397183377,0.0,0.0
69,train,4.700557920751849,51.68249161104668,24.997994019459465,18.565202268305505,0.8217764722920544,1.43035199282,1.4301703282155669,1.3949861369635337,1.4653545194676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9287483546154199,0.21820196686648066,0.0
70,train,2.816266205685249,72.58265172334822,44.0320079596662,17.831360381070155,0.7486358865567468,1.538918707662,1.5389193049366514,1.5037351136846182,1.5741034961886846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
71,test,2.9695305191858243,45.27090009314714,11.597314067675118,13.685254442074156,0.815483783828902,1.537440464576,1.537752396277219,1.5025682050251858,1.5729365875292525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
